taxon,type,explain,AphiaID,LifeStage,measurementValueID
amphipoda,biologicall,,1135,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
annelida,biologicall,,882,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
appendicularia,biologicall,,103353,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
artefact,detritus,,,,
biologicall,biologicall,,12,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
brachyura_mega,biologicall,,106673,megalopa,http://vocab.nerc.ac.uk/collection/S11/current/S1167/
brachyura_zoe,biologicall,,106673,zoe,http://vocab.nerc.ac.uk/collection/S11/current/S1137/
branchiopoda,biologicall,watervlooien,1069,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
bubbles,detritus,,,,
chaetognatha,biologicall,,2081,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
cirripedia_cyprid,biologicall,,106041,cypris,http://vocab.nerc.ac.uk/collection/S11/current/S1120/
cirripedia_nauplius,biologicall,,106041,nauplius,http://vocab.nerc.ac.uk/collection/S11/current/S1130/
cnidaria,jelly,,1267,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
copepod-calanoida,copepod,,1080,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
copepod-calanoida_moults,copepod,,1080,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
copepod-euterpina,copepod,,115348,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
ctenophora,jelly,,1248,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
cumacea,biologicall,cumacea,1137,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
detritus,detritus,,,,
diatom-odontella,phyto,,149013,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
diatom-setae,phyto,,149013,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
diatom-solitary-centric,phyto,,149013,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
diatom-straight,phyto,,149013,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
diatom-tripos,phyto,,149013,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
echinoderm_bipinaria,echino,,1806,bipinaria,http://vocab.nerc.ac.uk/collection/S11/current/S1162/
echinoderm_echinopluteus,echino,,1806,echinopluteus,http://vocab.nerc.ac.uk/collection/S11/current/S1162/
echinoderm_ophiopluteus,echino,,1806,ophiopluteus,http://vocab.nerc.ac.uk/collection/S11/current/S1162/
echninoderm_larvae,echino,"fully grown, in watercolumn",1806,larvae,http://vocab.nerc.ac.uk/collection/S11/current/S1116/
fish_eggs,biologicall,,1828,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
fish_larvae,biologicall,,1828,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
lanice,biologicall,polychaete-aulophore,129697,aulophora,http://vocab.nerc.ac.uk/collection/S11/current/S1168/
mysid,biologicall,,149668,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
noctiluca,dinoflagellate,,109500,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
phaeocystis,phyto,,115088,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
phyto-unsorted,phyto,,149013,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
radiolaria,biologicall,,582421,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
biological,biologicall,,12,unspecified,http://vocab.nerc.ac.uk/collection/S11/current/S1152/
